#ID Number,Date,t_start,t_end ,t_peak,duration,goes_class,CME,period_average,period_avg_plus_error,period_avg_neg_error,impulsive_period,impulsive_plus_error,impulsive_neg_error,decay_period,decay_plus_error,decay_neg_error,period_drift,period_drift_plus_error,period_drift_neg_error,pd_non_sig_flag
85,2015-06-21,02:06:00,03:05:51,02:36:45,3571,M2.6,1,84.8,1.5,-1.4,75.4,1.6,-1.6,94.1,2.5,-2.4,18.7,3,-2.9,0
86,2015-06-22,17:39:00,19:06:55,18:24:42,5250,M6.5,1,20.2,0.1,-0.1,21.2,0.1,-0.1,19.2,0.1,-0.1,-1.9,0.1,-0.1,1
87,2015-09-20,17:32:00,18:33:53,18:01:50,3697,M2.1,1,81.9,1.4,-1.3,70.2,1.4,-1.3,93.6,2.4,-2.3,23.4,2.8,-2.7,0
88,2015-09-28,07:27:00,07:42:53,07:34:42,950,M1.1,0,13.5,0.1,-0.1,13.8,0.2,-0.2,13.3,0.2,-0.2,-0.5,0.3,-0.3,1
89,2015-10-02,17:08:00,17:27:54,17:18:27,1190,M1.0,0,13.1,0.1,-0.1,9.5,0.1,-0.1,16.7,0.2,-0.2,7.3,0.3,-0.2,0
90,2015-10-15,23:27:00,23:34:55,23:31:49,473,M1.1,0,11.2,0.2,-0.2,11.8,0.3,-0.3,10.7,0.2,-0.2,-1.0,0.4,-0.4,1
91,2015-10-16,06:11:00,06:20:53,06:16:31,591,M1.1,0,18.7,0.5,-0.5,23.1,0.9,-0.9,14.2,0.4,-0.3,-8.9,1,-0.9,0
92,2015-10-17,20:09:00,20:36:54,20:22:58,1667,M1.1,0,18.7,0.2,-0.2,9.3,0.1,-0.1,28.1,0.5,-0.5,18.7,0.5,-0.5,0
93,2015-11-04,11:55:00,12:10:56,12:03:17,954,M2.5,0,13.1,0.1,-0.1,10.8,0.1,-0.1,15.4,0.3,-0.2,4.6,0.3,-0.3,0
94,2015-12-21,00:52:00,01:13:57,01:03:04,1312,M2.8,0,21.2,0.3,-0.3,14.8,0.2,-0.2,27.7,0.6,-0.6,12.8,0.6,-0.6,0
95,2015-12-22,03:15:00,03:52:55,03:34:19,2266,M1.6,0,32.3,0.4,-0.3,27.1,0.3,-0.3,37.4,0.6,-0.6,10.4,0.7,-0.7,0
96,2015-12-23,00:23:00,00:56:54,00:40:46,2026,M4.7,1,38.1,0.6,-0.6,29.1,0.4,-0.4,47.1,1.1,-1.1,18.0,1.2,-1.1,0
97,2016-07-23,05:00:00,05:31:52,05:16:43,1903,M7.6,1,20.9,0.2,-0.2,17.3,0.2,-0.2,24.6,0.3,-0.3,7.3,0.4,-0.3,0
98,2017-04-02,07:50:00,08:13:56,08:02:56,1431,M5.3,1,22.6,0.3,-0.3,19.5,0.3,-0.3,25.7,0.5,-0.5,6.1,0.5,-0.5,0
